"release_clause_eur_m","international_reputation","power_stamina","defending_sliding_tackle","age","is_internacional.1","years_remaining","years_in_club","category.Delantero","value_eur_m"
0.14,1,62,46,23,0,0,2,1,0.09
0.469,1,39,56,18,0,1,1,1,0.25
0.456,1,63,57,24,0,1,1,1,0.25
0.405,1,73,63,33,0,1,7,1,0.3
1.4,1,71,62,29,0,1,3,0,0.95
1,1,65,56,20,0,2,1,1,0.45
0.919,1,63,58,20,0,0,3,1,0.525
15,3,62,14,34,0,-1,6,1,10
2.9,1,68,69,21,0,0,5,1,1.5
2,1,65,68,26,0,1,1,0,1.3
5,1,70,69,26,0,2,3,1,2.3
0.311,1,59,62,35,0,0,1,0,0.23
0.902,1,55,51,18,0,-1,2,1,0.325
1.8,1,65,58,22,0,0,2,0,1.1
24.7,2,73,33,28,0,1,5,1,14.5
0.906,1,68,55,27,0,0,2,1,0.625
1.2,1,61,21,27,0,0,2,0,0.9
22.8,1,84,75,23,0,3,5,1,12
41.5,1,83,62,23,0,3,3,1,21
18.5,2,79,28,25,0,5,1,1,8.5
1.6,1,59,58,25,0,1,2,0,0.725
1.9,1,70,56,34,0,1,1,1,0.875
1.8,1,78,65,30,0,-1,3,0,1.2
72.8,3,79,20,30,1,2,4,1,35.5
1.5,1,77,67,33,0,-1,4,0,0.975
3.2,1,83,54,25,0,0,9,0,1.9
1.4,1,65,52,19,0,2,1,0,0.75
4.1,1,74,67,24,0,0,8,1,2.2
2,1,74,63,28,0,3,2,0,1.3
1.8,1,57,33,26,0,2,1,1,1.2
0.07,1,50,35,36,0,2,4,1,0.045
8.3,1,80,34,34,0,0,2,1,5
0.519,1,34,47,20,0,0,3,1,0.25
3,1,73,60,21,0,2,3,0,2
0.875,1,77,61,29,0,3,2,1,0.5
3,1,51,65,31,0,2,1,0,1.6
0.979,1,64,65,29,0,1,1,0,0.725
0.202,1,70,51,24,0,0,2,0,0.13
1.1,1,71,34,31,0,-1,10,1,0.7
12.1,1,74,71,30,0,0,1,0,5.5
2.4,1,71,61,19,0,1,2,1,1.1
3.2,1,42,39,21,0,0,1,0,1.4
1.6,1,60,50,24,0,0,4,1,1.2
80.8,2,90,81,29,1,4,5,0,47.5
0.109,1,70,49,34,0,-1,2,1,0.07
3.4,1,61,35,23,0,1,2,1,1.9
0.825,1,77,59,32,0,-1,1,0,0.5
55.3,2,74,40,25,0,4,1,1,28
1.6,1,80,58,25,0,0,2,0,0.9
4,1,81,56,28,0,1,1,0,2.4
2.1,1,61,59,20,0,0,5,1,0.95
0.776,1,37,32,34,0,0,1,1,0.575
24.3,2,86,70,26,0,1,7,0,16.5
2.6,1,65,65,25,0,2,5,0,1.7
4.7,1,68,18,24,0,1,1,1,2.2
19.7,2,83,72,25,0,3,3,0,9.5
2.6,1,73,32,29,0,-1,3,0,1.2
0.464,1,70,56,27,0,-1,3,0,0.35
0.293,1,57,56,28,0,0,1,1,0.17
0.618,1,69,63,36,0,0,5,0,0.325
1.7,1,68,48,18,0,0,3,0,0.625
1.5,1,41,30,21,0,1,6,1,0.6
7.6,1,82,65,27,0,2,1,1,4
13.1,1,75,73,25,0,2,3,0,6
1.2,1,80,69,35,0,0,2,0,0.8
0.696,1,82,22,25,0,0,2,0,0.525
2.4,1,66,34,30,0,3,2,1,1.5
0.725,1,67,29,28,0,0,3,1,0.5
1.3,1,64,56,19,0,1,2,1,0.55
2.2,1,82,59,23,0,-1,8,0,1.5
0.878,1,61,44,22,0,1,1,0,0.45
0.28,1,82,59,33,0,0,8,1,0.16
2.1,1,67,53,23,0,1,2,0,1.5
3.6,1,67,68,25,0,1,1,0,2.1
6.4,1,76,66,31,0,0,2,0,4.6
0.363,1,74,50,27,0,0,6,0,0.25
0.593,1,55,12,20,0,0,1,1,0.3
1.3,1,72,68,25,0,0,2,1,0.825
0.719,1,57,29,30,0,1,1,1,0.575
0.578,1,55,51,22,0,-1,1,1,0.35
1.1,1,74,53,25,0,2,1,1,0.725
3.2,1,80,62,20,0,0,1,1,1.6
2,1,80,39,30,0,-1,1,1,1.4
3.6,1,75,67,24,0,1,2,1,2.3
9.9,1,62,72,22,0,3,3,1,4.3
0.998,1,71,63,34,0,0,4,0,0.475
0.508,1,66,56,23,0,3,5,1,0.35
4.8,1,70,71,28,0,0,1,1,2.8
0.81,1,58,67,25,0,2,1,0,0.4
0.763,1,60,25,22,0,0,3,1,0.5
2.5,1,90,63,23,0,1,5,1,1.5
0.625,1,72,60,33,0,0,5,0,0.5
5.4,1,56,26,22,0,3,6,1,2.3
1,1,65,67,31,0,0,3,0,0.7
2.1,1,76,70,31,0,0,6,0,1.1
1.4,1,73,62,26,0,1,1,0,0.775
0.438,1,77,56,29,0,-1,2,1,0.35
2.8,1,82,64,25,0,1,6,0,1.4
1.5,1,83,58,27,0,3,1,1,0.675
0.584,1,43,19,19,0,3,4,1,0.275
1.2,1,45,31,20,0,0,3,1,0.55
4.9,1,67,58,25,0,2,2,0,2.3
1.1,1,69,65,27,0,0,2,0,0.8
194.6,3,81,30,22,0,4,5,1,86.5
0.465,1,61,59,24,0,1,2,1,0.3
0.906,1,64,42,24,0,0,2,1,0.625
2.1,1,63,20,33,0,0,2,1,1.5
2.4,1,62,19,28,0,1,4,1,1.4
1.4,1,55,17,20,0,4,1,1,0.875
0.713,1,70,55,27,0,4,4,0,0.5
1.2,1,57,43,21,0,0,2,1,0.5
35.3,1,73,18,26,0,3,2,1,17
0.363,1,55,24,19,0,0,1,1,0.25
1.6,1,73,42,32,0,0,3,0,1.3
2.4,1,63,66,23,0,2,2,0,1.5
0.17,1,57,44,20,0,0,1,1,0.1
0.725,1,65,33,27,0,0,3,1,0.5
1.3,1,60,47,23,0,1,4,1,0.775
47.9,3,92,77,27,1,1,3,0,27
0.93,1,63,65,29,0,1,3,1,0.6
6.6,1,70,68,24,0,0,4,1,3
4.3,1,64,26,26,0,1,2,0,1.9
34.6,2,62,77,28,0,1,3,0,17.5
9.8,1,76,71,25,0,3,1,0,5.5
5.4,1,60,57,25,0,3,1,1,2.6
0.753,1,53,58,20,0,1,2,1,0.35
2.3,1,71,20,30,0,1,2,1,1.2
1.2,1,72,64,23,0,0,3,1,0.8
2.6,1,68,63,22,0,2,2,1,1.5
17.9,2,78,65,29,0,1,8,1,10.5
0.723,1,75,64,28,0,2,5,1,0.425
13.8,1,82,72,28,0,0,4,0,7
4.8,1,73,67,19,0,1,3,0,2.3
6.9,1,77,45,19,0,3,2,1,3
8.1,1,34,31,23,0,1,3,1,3.5
3.4,1,75,60,19,0,-1,4,1,1.2
8.4,1,67,47,22,0,2,1,1,4.2
1.1,1,60,51,20,0,0,2,1,0.525
2,1,86,58,23,0,3,6,0,1.1
49.4,1,64,36,21,0,6,1,1,23.5
0.963,1,48,29,22,0,2,1,1,0.55
0.979,1,43,25,22,0,0,3,0,0.675
0.253,1,63,48,19,0,3,2,1,0.1
2.1,1,73,73,34,0,1,5,0,1
2.9,1,71,18,22,0,2,2,1,1.5
1.8,1,71,33,22,0,4,1,1,0.8
3.3,1,58,37,23,0,0,3,0,1.9
4.3,1,56,20,19,0,1,2,1,2
5.8,1,71,63,20,0,3,3,1,2.3
5.9,1,78,74,29,1,0,7,0,2.7
0.7,1,76,61,32,0,0,1,0,0.4
0.293,1,71,51,25,0,-1,7,1,0.18
1.2,1,63,62,23,0,1,1,1,0.7
1.2,1,58,12,20,0,1,2,1,0.6
0.454,1,64,54,21,0,0,1,1,0.275
3,1,70,64,26,0,1,1,1,1.3
5.3,1,79,61,24,0,0,4,0,3.2
2.1,1,83,62,25,0,1,8,0,1.6
0.831,1,53,35,19,0,0,3,1,0.475
9,1,76,69,32,0,-1,4,0,6
1.4,1,58,19,20,0,2,2,1,0.875
0.45,1,50,27,19,0,2,2,1,0.24
1.1,1,61,63,27,0,0,7,0,0.725
0.866,1,58,60,21,0,2,1,0,0.525
0.228,1,63,11,20,0,1,2,1,0.11
1.1,1,70,62,24,0,1,4,1,0.7
5.2,1,72,30,31,0,0,1,1,2.6
1.6,1,62,33,24,0,1,1,1,1.1
0.616,1,73,36,27,0,2,5,1,0.425
1.3,1,61,26,19,0,0,3,0,0.575
3.1,1,74,67,29,0,-1,3,0,2.5
2,1,69,65,27,0,0,6,0,1.2
4.2,1,78,67,26,0,1,2,1,2.5
2.5,1,67,62,22,0,0,2,1,1.5
0.525,1,58,59,24,0,0,1,1,0.35
6.6,1,83,69,27,0,3,2,0,3.2
0.098,1,34,44,26,0,-1,2,1,0.06
1.7,1,65,66,23,0,0,3,1,1
4.5,1,82,61,25,0,0,7,1,1.9
11.1,2,74,74,29,0,1,3,1,6.5
0.488,1,54,55,28,0,1,1,1,0.3
1.1,1,64,58,29,0,1,3,1,0.8
0.238,1,67,58,29,0,2,1,1,0.19
3,1,72,41,28,0,-1,1,1,1.4
0.638,2,77,70,35,0,0,2,0,0.425
1.9,1,63,60,20,0,1,2,1,0.9
1.4,1,44,23,17,0,1,2,1,0.55
2.9,1,86,61,22,0,3,4,0,1.8
0.709,1,75,49,33,0,2,1,0,0.525
4,1,92,63,27,0,2,5,0,2.5
0.66,1,53,33,23,0,-1,2,1,0.4
0.875,1,71,60,28,0,0,3,0,0.5
6.2,1,78,66,22,0,2,1,1,3.1
1.5,1,57,62,23,0,1,1,1,0.9
1.9,1,52,58,22,0,-1,2,1,0.85
3.6,1,74,61,29,0,2,4,1,1.8
6.6,1,72,51,29,0,0,3,1,4.1
2.5,1,69,68,27,0,1,1,0,1.2
3.6,1,72,59,23,0,3,1,1,1.8
1.5,1,77,62,24,0,3,3,0,1.1
1.9,1,73,66,32,1,0,2,0,1.5
2.3,1,58,24,25,0,2,2,1,1.4
17.6,1,84,16,25,1,4,1,1,8.5
9.6,1,67,69,27,0,1,5,0,4.2
0.288,1,69,61,33,0,2,3,0,0.23
6.8,1,83,63,20,0,3,1,0,3.2
8,1,70,34,23,0,3,2,0,4.2
74.6,3,79,46,22,1,4,1,1,35.5
27.6,1,65,73,24,0,1,4,1,11.5
0.202,1,64,61,33,0,-1,7,1,0.13
4.3,1,59,67,24,0,-1,3,1,2.5
3.2,1,72,17,26,0,2,2,1,1.9
1.6,1,80,67,28,0,1,1,1,1.1
3.3,1,81,60,31,0,-1,1,0,1.5
1,2,72,68,35,0,-1,10,0,0.8
2.9,1,69,70,30,0,0,3,0,1.3
0.189,1,63,54,27,0,0,2,0,0.14
3.5,1,72,70,30,0,0,8,0,1.6
13.4,1,82,74,26,0,0,2,0,8.5
2.1,1,70,28,32,0,-1,2,1,1.5
2.2,1,75,67,27,0,1,2,0,1.2
0.656,1,45,53,21,0,0,3,1,0.375
2.4,1,51,60,20,0,3,3,1,1
1.9,1,74,66,31,0,2,1,0,0.975
1.8,1,46,26,21,0,1,2,1,0.8
0.325,1,60,57,24,0,-1,5,0,0.2
0.882,1,58,46,18,0,4,1,1,0.425
1.4,1,69,60,30,0,0,1,0,1
4.2,1,64,57,18,0,2,1,1,1.5
1.3,1,61,27,23,0,2,2,1,0.525
0.27,1,64,20,29,0,0,2,1,0.2
0.6,1,61,54,18,0,0,3,1,0.24
1.9,1,61,63,27,0,-1,2,0,0.875
1,1,87,61,30,0,-1,5,0,0.675
4.8,1,85,61,32,0,-1,5,0,3.3
2.1,1,85,63,26,0,2,9,0,1.4
27.6,3,64,70,30,1,0,5,1,14.5
0.504,1,67,61,34,0,4,1,1,0.325
2.7,1,74,67,27,0,0,1,0,1.7
0.73,1,66,60,27,0,0,2,0,0.4
0.504,1,84,63,34,0,1,19,0,0.325
1.7,1,67,63,21,0,0,2,1,1
1.8,1,65,38,21,0,1,2,1,1.1
0.764,1,59,63,19,0,3,4,1,0.325
2,1,85,49,28,0,-1,3,0,1.6
3.8,3,58,58,38,0,0,1,1,2.4
0.934,1,59,53,26,0,1,1,0,0.575
3,1,66,62,21,0,1,1,1,1.3
2.1,1,45,23,26,0,0,2,1,1.3
0.574,1,80,49,27,0,1,1,1,0.425
5.3,1,73,25,19,0,0,3,1,2
3.3,1,83,61,26,0,-1,7,0,2.1
0.703,1,34,15,20,0,1,4,1,0.375
1.7,1,61,60,25,0,2,1,1,0.75
2,1,82,45,30,0,1,10,0,1.3
1.1,1,76,47,19,0,1,3,1,0.575
0.313,1,65,60,33,0,-1,5,1,0.25
1.2,1,80,67,32,0,0,14,1,0.8
22.8,2,90,70,23,0,0,6,0,12
1.6,1,72,62,24,0,1,3,1,1
3.5,1,74,52,27,0,2,1,0,2.5
0.438,1,55,39,28,0,0,1,1,0.25
1.1,1,81,59,34,0,-1,2,0,0.8
63.6,2,84,44,28,0,2,10,1,31
0.656,1,70,34,25,0,1,1,1,0.375
3.2,1,64,62,20,0,4,1,1,1.6
0.844,1,79,59,29,0,0,8,0,0.625
2.1,1,62,21,23,0,2,1,1,0.975
3.1,1,62,58,27,0,-1,2,0,1.4
1.8,1,83,67,31,0,1,6,1,1
6.1,1,91,68,27,0,3,9,0,3.2
10.6,1,84,64,18,0,2,2,0,5
1.1,1,67,49,24,0,-1,1,1,0.65
1.2,1,61,60,23,0,1,1,0,0.825
6.2,1,52,35,20,0,2,3,1,2.5
0.66,1,51,12,22,0,4,1,1,0.275
0.945,1,84,58,31,0,0,3,0,0.7
44.4,2,93,73,28,0,3,1,0,25
3.1,1,79,76,31,0,0,3,0,1.7
4.1,1,76,57,26,0,1,2,1,1.8
9.7,1,78,68,24,1,3,1,1,4.4
3.5,1,86,70,31,0,3,1,0,2.1
2.1,1,35,28,19,0,0,3,1,0.775
3.8,1,58,67,18,0,3,2,1,1.7
1.5,1,60,54,27,0,0,1,1,0.675
0.28,1,83,16,34,0,1,6,1,0.16
0.724,1,56,64,22,0,1,1,0,0.475
0.428,1,55,48,20,0,0,1,0,0.18
0.217,1,49,24,19,0,4,1,1,0.11
0.89,1,58,55,21,0,0,2,1,0.4
0.947,1,65,59,17,0,1,1,1,0.375
2.4,1,63,73,26,0,3,3,1,1.6
5.6,1,74,68,22,0,0,3,0,3.3
1.7,1,52,61,18,0,1,1,1,0.725
2.1,2,60,45,38,0,-1,1,1,0.95
3.1,1,88,56,23,0,1,1,1,1.6
1,1,85,50,32,0,-1,3,1,0.7
0.825,1,62,63,20,0,2,1,1,0.5
2,1,61,60,21,0,0,4,1,1
6,1,74,36,26,0,2,2,1,3.8
9.9,1,68,38,22,0,3,1,1,5.5
1.2,1,72,65,31,0,0,2,0,0.7
0.439,1,71,70,36,0,-1,3,0,0.325
1.9,1,77,53,18,0,1,4,1,0.825
2.4,1,69,64,29,0,0,2,0,1.2
0.385,1,46,33,30,0,0,1,1,0.22
2.9,1,60,19,26,0,2,1,0,1.5
1.1,1,86,61,26,0,1,3,1,0.825
47.4,2,75,79,26,1,3,2,0,24
2.3,1,73,55,23,0,0,2,0,1.4
2.3,1,65,21,27,0,0,2,1,1.5
0.228,1,45,50,21,0,-1,1,1,0.14
17.8,2,67,75,24,1,2,3,1,10
2.5,1,61,68,23,0,0,1,0,1.5
0.891,1,67,39,25,0,2,1,1,0.625
1.4,1,64,34,28,0,0,3,1,1
5.1,1,79,34,24,1,1,2,0,3
2.1,1,79,67,27,0,0,2,0,1.3
4.6,1,75,28,30,0,1,3,1,2.3
0.585,1,57,21,19,0,0,2,1,0.3
4.4,1,79,33,26,0,1,3,1,2.8
8.3,1,64,71,27,1,1,7,0,4.2
8.6,1,76,30,27,1,2,1,1,6.5
4.9,1,72,67,25,0,2,4,0,3.1
2.1,1,59,65,21,0,1,4,0,1.2
0.612,1,51,24,19,0,4,3,1,0.275
3.1,1,68,15,21,0,0,2,1,1.8
2.2,1,64,68,27,0,0,11,1,1.2
12.4,1,72,52,29,0,0,1,0,7.5
1.1,1,34,22,20,0,0,1,1,0.55
78.7,3,79,77,26,1,2,1,0,47
2,1,71,59,22,0,3,1,1,1.2
4.8,1,57,68,22,0,1,5,1,2.1
7.7,1,79,66,22,0,3,1,0,3.4
9.5,1,77,73,28,0,0,1,0,5.5
0.175,1,57,50,17,0,0,2,1,0.1
2.4,1,74,63,21,0,2,3,0,1.5
5.8,1,80,58,22,0,3,1,1,3.6
2.8,1,64,51,26,0,0,1,0,1.9
3.5,1,74,29,30,0,0,3,1,2.3
7.1,1,64,20,20,0,2,4,0,3.1
9.4,3,80,77,31,1,0,4,1,5.5
2.2,1,52,40,24,0,-1,1,1,1.4
7.1,2,75,70,28,1,0,4,1,4.2
4.6,1,58,47,22,0,0,2,1,1.9
5.6,1,75,64,22,0,0,3,0,3.2
4.5,1,65,33,23,0,3,1,1,2.3
40.9,2,74,79,20,0,4,1,1,21.5
0.639,1,62,54,27,0,0,4,0,0.35
0.95,1,53,44,21,0,3,5,1,0.5
1.9,1,50,61,21,0,1,3,1,1.1
0.998,1,54,64,25,0,0,1,0,0.7
17.1,3,74,71,34,0,1,1,0,9
0.634,1,61,15,22,0,0,2,1,0.325
0.394,1,51,16,18,0,3,1,1,0.19
0.58,1,62,64,31,0,0,12,1,0.4
1.3,1,74,52,21,0,1,3,1,0.9
2.3,1,69,18,27,0,2,1,1,1.6
63.7,2,76,64,23,0,1,5,1,33.5
0.158,1,34,42,19,0,-1,3,1,0.09
0.978,1,31,57,21,0,1,5,1,0.575
23.8,3,86,79,32,1,0,7,0,14
7.5,1,79,72,25,0,1,2,1,4.2
1.6,1,58,13,31,0,0,1,1,1
7.5,1,66,72,25,0,2,10,0,3.8
0.58,1,73,28,30,0,1,3,1,0.4
0.372,1,69,51,24,0,0,1,1,0.24
3.7,1,63,65,23,0,1,2,1,1.6
3.4,1,91,64,28,0,0,4,0,1.6
0.891,1,63,28,30,0,1,2,1,0.575
1.7,1,63,19,27,0,-1,1,1,1.1
2,1,67,64,24,0,1,2,1,1
2.6,1,68,18,29,0,1,2,1,1.6
3.9,2,67,15,31,0,0,2,1,2
2.6,1,74,70,25,0,-1,2,0,1.8
1.7,1,64,58,21,0,1,1,1,0.85
8.6,1,70,25,26,0,1,1,0,5
3.1,1,61,34,20,0,0,3,0,1.3
21.9,1,75,24,31,0,2,1,0,11.5
1.6,1,68,64,32,0,0,2,0,1
8.1,1,64,67,27,0,2,1,0,4.3
2.7,1,82,26,24,0,2,1,1,1.5
0.963,1,76,64,32,0,0,1,0,0.55
18.7,1,82,73,24,0,1,3,0,11
3.3,1,86,65,33,0,1,7,0,1.5
4.8,2,62,72,30,0,0,9,1,2.6
0.831,1,45,61,31,0,0,1,0,0.475
1.5,1,67,30,24,0,2,1,1,0.8
0.961,1,61,61,25,1,-1,1,0,0.725
0.808,1,49,64,33,0,0,7,1,0.425
0.86,1,49,39,20,0,2,2,1,0.4
1,1,72,23,29,0,0,2,1,0.575
14.7,1,77,33,22,0,2,2,0,7
2,1,77,43,28,0,0,1,0,1.6
1.7,1,72,21,29,0,-1,1,1,1.2
0.728,1,55,55,18,0,2,1,1,0.3
4.7,1,66,51,22,0,2,4,0,2.7
0.882,1,54,17,18,0,0,1,1,0.425
16.2,2,67,79,33,0,0,2,0,8.5
14.4,1,81,73,23,0,0,4,0,6
1.2,1,87,60,28,0,1,1,0,0.85
0.66,1,40,66,19,0,4,1,1,0.3
13,1,87,72,30,0,0,3,0,6.5
2.6,1,71,14,27,0,1,2,1,1.3
0.396,1,61,60,31,0,0,3,0,0.24
0.645,1,62,62,31,0,-1,6,0,0.3
3.6,1,67,60,22,0,0,5,1,1.9
2.2,1,67,20,27,0,1,1,1,1.5
1.4,1,68,12,30,0,0,1,1,0.7
1.1,1,70,63,27,0,4,2,0,0.625
5.2,1,60,22,19,0,2,4,1,1.9
1.9,1,74,64,30,0,1,1,0,1
0.497,1,56,58,28,0,-1,5,0,0.375
2.7,1,76,64,27,0,2,1,0,1.6
0.504,1,68,52,29,0,-1,2,1,0.325
0.385,1,51,22,20,0,-1,1,1,0.22
2.3,1,76,43,22,0,0,7,1,1.6
4.1,1,82,71,29,0,1,1,0,2.7
28.4,2,76,27,24,0,1,3,1,16
0.9,1,55,17,19,0,4,1,1,0.5
0.594,1,66,38,32,0,3,1,1,0.475
3.7,1,72,68,24,0,1,3,1,1.9
0.388,1,61,45,27,0,-1,2,1,0.25
3.7,1,69,68,25,0,2,2,1,2.2
3.4,1,71,25,31,0,2,1,1,1.6
0.85,1,69,66,35,0,0,3,0,0.425
0.306,1,52,12,21,0,3,4,1,0.18
4.6,1,70,13,26,1,4,1,1,2.1
1.9,1,41,42,17,0,3,1,1,0.675
1,1,65,64,31,0,0,1,0,0.75
11.1,2,57,76,29,0,3,1,0,6.5
1.9,1,66,10,21,0,1,4,1,1.2
1.7,1,32,15,19,0,0,3,1,0.625
2.5,1,85,70,26,0,0,2,0,1.6
1.1,1,83,49,28,0,-1,3,0,0.85
2,1,52,29,19,0,1,1,1,1
0.264,1,76,43,20,0,0,2,1,0.17
1.9,1,60,31,22,0,1,2,1,0.975
17.1,2,68,79,29,0,0,10,1,9
4.2,1,78,63,24,1,0,7,1,2
10,1,88,67,22,0,2,2,0,5
0.449,1,50,52,20,0,0,3,1,0.23
8.1,1,72,68,24,0,1,2,0,4.5
12.4,1,79,70,29,0,2,3,0,6.5
2.5,1,55,39,21,0,1,5,0,1.6
1.4,1,78,54,30,0,2,1,0,0.975
31.9,1,71,65,21,0,4,1,1,14.5
3.8,1,65,59,22,0,-1,4,0,1.6
0.279,1,82,53,31,0,-1,6,1,0.18
34.9,2,64,22,30,1,2,1,1,20.5
1.7,1,74,57,25,0,-1,7,0,1.1
2,1,60,69,25,0,1,2,0,0.95
37.8,2,73,32,28,0,3,2,1,18
2.1,1,53,38,22,0,-1,2,1,0.9
2.8,1,70,67,27,0,1,2,1,1.3
1.1,1,73,55,21,0,-1,4,1,0.475
3.4,1,58,16,21,0,0,2,1,1.9
0.158,1,48,49,21,0,2,1,1,0.09
6.6,1,76,64,21,0,2,1,0,3
3.2,1,81,65,23,0,2,1,0,1.7
0.563,1,67,57,26,0,1,1,0,0.425
0.518,1,64,57,25,0,0,1,0,0.3
15.8,1,77,72,27,0,2,2,1,8
1.4,1,46,59,19,0,3,1,1,0.55
11.5,1,74,70,26,1,2,1,0,6.5
0.332,1,66,41,20,0,0,3,1,0.17
2.1,1,59,22,20,0,-1,3,1,1.3
2.7,1,58,20,22,0,0,1,1,1.5
0.48,1,52,54,20,0,0,3,1,0.19
0.438,1,64,53,20,0,-1,1,0,0.25
2.5,1,66,32,26,0,0,1,1,1.6
12.5,1,76,70,25,0,3,1,0,5.5
8.2,2,73,77,30,0,3,9,0,4.8
2.5,1,61,65,25,0,2,1,1,1.5
6.3,1,69,66,28,0,-1,2,0,4.2
1.9,1,81,64,27,0,-1,1,1,1.3
0.471,1,33,24,32,0,-1,1,1,0.325
0.548,1,67,58,24,0,0,3,1,0.3
1.7,1,51,12,23,0,-1,1,1,0.975
0.149,1,65,22,29,0,0,2,0,0.11
0.439,1,73,60,31,0,0,1,0,0.325
0.9,2,81,54,36,0,2,8,0,0.6
2.6,1,66,57,26,0,2,2,1,1.6
2.1,1,66,62,25,0,0,5,1,1
16,2,63,38,26,1,1,6,1,9
8,1,60,69,28,0,0,3,1,4.2
5.6,2,71,48,34,0,0,1,0,3.5
1.2,1,57,19,22,0,0,4,1,0.75
0.149,1,55,52,28,0,3,1,1,0.11
1.7,1,62,17,18,0,-1,1,1,0.7
7.5,1,86,51,25,0,1,7,0,4
0.385,1,65,42,30,0,0,2,1,0.22
25.5,1,65,74,27,0,0,4,1,15
65.2,1,78,21,25,0,3,1,1,33
4.5,1,71,67,20,0,0,4,1,2.8
3,1,77,55,25,0,1,1,1,2
0.975,1,62,64,28,0,0,3,1,0.65
1.8,1,73,15,32,0,-1,3,1,0.825
0.653,1,61,26,23,0,-1,1,1,0.45
0.363,1,58,49,20,0,4,1,1,0.25
15,1,87,72,23,0,1,4,0,9.5
0.54,1,70,60,29,0,1,2,0,0.4
1.5,1,55,31,28,0,0,3,1,0.725
1.4,1,63,52,18,0,-1,1,1,0.5
1.2,1,36,65,27,0,2,1,1,0.65
2.3,1,82,68,31,0,-1,4,0,1.6
1.1,1,72,61,29,0,-1,2,0,0.725
1.6,1,71,59,29,0,2,4,1,1
0.675,1,68,50,22,0,-1,6,1,0.45
0.162,1,74,55,29,0,0,1,1,0.12
1.2,1,64,59,21,0,1,1,1,0.7
1.2,1,51,40,30,0,-1,2,1,0.825
0.217,1,62,38,30,0,-1,2,1,0.14
1.5,1,72,22,24,0,2,1,0,0.75
0.825,1,58,45,17,0,1,2,1,0.3
0.508,1,60,53,21,0,3,4,1,0.35
3.8,1,84,64,24,0,-1,1,0,2.6
1.7,1,72,63,26,0,4,1,0,1.2
2.9,1,74,52,22,0,2,1,1,1.5
1.3,1,62,66,23,0,0,1,1,0.75
8,1,79,65,27,0,1,1,1,3.5
2.3,1,72,68,27,0,-1,10,0,1.5
5.3,1,73,68,20,0,1,4,0,2.7
0.821,1,66,50,24,0,1,3,1,0.45
1.8,1,77,59,25,0,2,3,0,1.1
0.523,1,70,57,21,0,1,4,1,0.275
