"release_clause_eur_m","overall","potential","wage_eur_m","movement_reactions","skill_ball_control","age","value_eur_m"
0.979,66,66,0.24,62,56,29,0.725
0.202,53,59,0.024,47,37,24,0.13
1.1,66,66,0.144,60,64,31,0.7
12.1,75,75,0.048,73,78,30,5.5
2.4,63,75,0.096,53,62,19,1.1
3.2,64,76,0.096,45,66,21,1.4
1.6,66,69,0.096,65,65,24,1.2
80.8,85,85,4.128,84,79,29,47.5
0.109,56,56,0.096,47,59,34,0.07
3.4,66,75,0.144,65,64,23,1.9
0.825,65,65,0.288,58,68,32,0.5
55.3,80,83,5.52,83,82,25,28
1.6,65,67,0.096,58,62,25,0.9
4,72,72,0.912,60,70,28,2.4
2.1,63,70,0.192,59,67,20,0.95
0.776,68,68,0.096,61,70,34,0.575
24.3,78,79,1.056,78,78,26,16.5
2.6,69,73,0.336,66,52,25,1.7
4.7,70,73,0.288,63,70,24,2.2
19.7,76,80,0.96,75,70,25,9.5
2.6,68,68,0.0288,56,64,29,1.2
0.464,61,63,0.096,56,59,27,0.35
0.293,57,59,0.144,54,45,28,0.17
0.618,71,71,0.816,67,53,36,0.325
1.7,59,79,0.0384,55,62,18,0.625
1.5,60,74,0.576,43,65,21,0.6
7.6,74,74,0.864,79,69,27,4
13.1,74,79,0.912,65,75,25,6
1.2,73,73,0.336,69,70,35,0.8
0.696,62,65,0.0312,52,56,25,0.525
2.4,70,70,0.432,69,71,30,1.5
0.725,63,63,0.144,61,62,28,0.5
1.3,59,76,0.048,52,52,19,0.55
2.2,65,73,0.048,63,63,23,1.5
0.878,59,66,0.096,51,56,22,0.45
0.28,61,61,0.096,60,56,33,0.16
2.1,67,72,0.144,62,67,23,1.5
3.6,70,75,0.48,68,62,25,2.1
6.4,75,75,0.864,74,78,31,4.6
0.363,60,60,0.024,60,60,27,0.25
0.593,55,69,0.048,57,56,20,0.3
1.3,65,67,0.0456,66,50,25,0.825
0.719,64,64,0.048,63,64,30,0.575
0.578,57,65,0.048,49,34,22,0.35
1.1,62,69,0.048,59,65,25,0.725
3.2,65,79,0.048,55,59,20,1.6
2,69,69,0.048,63,67,30,1.4
3.6,70,74,0.384,64,73,24,2.3
9.9,71,83,0.72,65,71,22,4.3
0.998,67,67,0.144,65,68,34,0.475
0.508,57,66,0.048,55,50,23,0.35
4.8,73,73,1.632,69,71,28,2.8
0.81,61,64,0.096,46,56,25,0.4
0.763,61,66,0.0456,62,59,22,0.5
2.5,67,73,0.192,59,63,23,1.5
0.625,67,67,0.144,64,64,33,0.5
5.4,67,75,0.024,66,72,22,2.3
1,67,67,0.144,61,48,31,0.7
2.1,70,70,0.816,68,62,31,1.1
1.4,65,66,0.144,62,59,26,0.775
0.438,62,62,0.0408,52,62,29,0.35
2.8,68,71,0.576,63,66,25,1.4
1.5,64,65,0.024,70,62,27,0.675
0.584,54,72,0.0408,43,57,19,0.275
1.2,60,71,0.144,47,63,20,0.55
4.9,70,75,0.384,72,78,25,2.3
1.1,65,68,0.192,55,40,27,0.8
194.6,85,91,10.08,84,87,22,86.5
0.465,58,64,0.048,58,48,24,0.3
0.906,62,68,0.048,58,61,24,0.625
2.1,72,72,0.144,76,67,33,1.5
2.4,69,69,1.104,66,63,28,1.4
1.4,62,73,0.096,56,62,20,0.875
0.713,63,64,0.048,59,65,27,0.5
1.2,59,70,0.144,61,53,21,0.5
35.3,78,79,0.912,78,80,26,17
0.363,54,66,0.024,51,51,19,0.25
1.6,70,70,0.144,67,72,32,1.3
2.4,67,72,0.096,67,67,23,1.5
0.17,49,60,0.0432,57,41,20,0.1
0.725,63,63,0.144,62,63,27,0.5
1.3,63,69,0.24,58,65,23,0.775
47.9,81,82,3.84,81,76,27,27
0.93,65,65,0.048,66,52,29,0.6
6.6,70,77,0.912,66,64,24,3
4.3,70,71,0.624,62,72,26,1.9
34.6,79,81,3.312,76,62,28,17.5
9.8,74,79,1.488,76,66,25,5.5
5.4,71,75,0.672,70,77,25,2.6
0.753,57,67,0.096,56,56,20,0.35
2.3,68,68,0.432,66,66,30,1.2
1.2,64,69,0.0408,61,61,23,0.8
2.6,65,75,0.144,64,62,22,1.5
17.9,77,77,2.16,78,80,29,10.5
0.723,63,63,0.288,61,58,28,0.425
13.8,76,77,3.024,75,72,28,7
4.8,67,82,0.192,59,56,19,2.3
6.9,69,79,0.288,68,70,19,3
8.1,70,79,0.528,53,77,23,3.5
3.4,63,79,0.024,60,62,19,1.2
8.4,71,81,0.816,66,73,22,4.2
1.1,59,72,0.024,63,61,20,0.525
2,65,70,0.096,67,67,23,1.1
49.4,77,85,3.456,74,81,21,23.5
0.963,60,68,0.048,40,64,22,0.55
0.979,61,68,0.048,45,64,22,0.675
0.253,50,65,0.096,48,26,19,0.1
2.1,73,73,0.384,74,54,34,1
2.9,65,72,0.096,61,65,22,1.5
1.8,62,69,0.096,59,67,22,0.8
3.3,66,75,0.096,68,70,23,1.9
4.3,66,80,0.096,63,66,19,2
5.8,67,81,0.72,63,68,20,2.3
5.9,73,73,0.048,68,63,29,2.7
0.7,64,64,0.096,60,61,32,0.4
0.293,57,58,0.024,58,51,25,0.18
1.2,63,69,0.048,58,60,23,0.7
1.2,60,74,0.048,58,66,20,0.6
0.454,55,63,0.024,55,32,21,0.275
3,67,71,0.024,66,63,26,1.3
5.3,70,77,0.384,67,72,24,3.2
2.1,69,71,0.192,62,65,25,1.6
0.831,59,68,0.096,57,64,19,0.475
9,76,76,0.432,73,77,32,6
1.4,62,72,0.096,54,59,20,0.875
0.45,53,70,0.024,35,57,19,0.24
1.1,65,66,0.192,65,65,27,0.725
0.866,60,70,0.0384,59,54,21,0.525
0.228,50,63,0.048,48,48,20,0.11
1.1,63,69,0.096,62,60,24,0.7
5.2,73,73,1.056,71,71,31,2.6
1.6,65,71,0.096,55,66,24,1.1
0.616,62,62,0.096,60,53,27,0.425
1.3,60,73,0.024,52,60,19,0.575
3.1,73,73,0.288,59,62,29,2.5
2,68,69,0.048,60,52,27,1.2
4.2,72,73,0.192,71,72,26,2.5
2.5,65,76,0.096,58,65,22,1.5
0.525,57,65,0.0456,55,46,24,0.35
6.6,73,74,0.816,70,69,27,3.2
0.098,49,52,0.048,56,45,26,0.06
1.7,65,71,0.096,62,42,23,1
4.5,67,74,0.024,61,70,25,1.9
11.1,76,76,1.92,74,75,29,6.5
0.488,61,62,0.144,51,53,28,0.3
1.1,66,67,0.192,58,50,29,0.8
0.238,59,59,0.048,57,55,29,0.19
3,69,69,0.024,67,71,28,1.4
0.638,70,70,0.24,68,68,35,0.425
1.9,62,77,0.096,68,58,20,0.9
1.4,58,78,0.048,44,64,17,0.55
2.9,68,74,0.0408,66,55,22,1.8
0.709,66,66,0.192,60,69,33,0.525
4,72,72,0.192,68,75,27,2.5
0.66,60,66,0.048,52,56,23,0.4
0.875,64,64,0.096,55,56,28,0.5
6.2,69,78,0.528,67,71,22,3.1
1.5,63,70,0.048,60,58,23,0.9
1.9,64,69,0.024,66,68,22,0.85
3.6,71,71,1.392,71,72,29,1.8
6.6,74,74,0.528,69,75,29,4.1
2.5,68,69,0.288,64,63,27,1.2
3.6,66,76,0.144,67,65,23,1.8
1.5,65,70,0.048,65,66,24,1.1
1.9,72,72,0.192,74,63,32,1.5
2.3,67,71,0.096,65,70,25,1.4
17.6,75,80,0.672,73,76,25,8.5
9.6,74,75,0.0456,75,72,27,4.2
0.288,63,63,0.048,59,63,33,0.23
6.8,69,83,0.192,66,65,20,3.2
8,71,79,0.72,69,70,23,4.2
74.6,79,86,3.312,73,83,22,35.5
27.6,75,83,0.72,60,63,24,11.5
0.202,58,58,0.144,56,56,33,0.13
4.3,68,76,0.24,64,59,24,2.5
3.2,70,71,0.96,63,69,26,1.9
1.6,68,69,0.24,64,56,28,1.1
3.3,71,71,0.0408,60,69,31,1.5
1,73,73,0.24,55,67,35,0.8
2.9,70,70,0.024,62,68,30,1.3
0.189,56,56,0.024,53,47,27,0.14
3.5,71,71,0.576,64,64,30,1.6
13.4,76,78,0.672,70,74,26,8.5
2.1,71,71,0.144,67,72,32,1.5
2.2,67,70,0.144,60,52,27,1.2
0.656,57,67,0.096,55,53,21,0.375
2.4,63,73,0.024,60,64,20,1
1.9,69,69,0.48,65,61,31,0.975
1.8,61,73,0.144,52,58,21,0.8
0.325,57,59,0.024,53,53,24,0.2
0.882,57,73,0.024,62,60,18,0.425
1.4,68,68,0.144,64,64,30,1
4.2,63,84,0.0336,68,70,18,1.5
1.3,61,67,0.024,45,60,23,0.525
0.27,58,58,0.048,51,63,29,0.2
0.6,53,73,0.024,50,44,18,0.24
1.9,66,67,0.024,58,63,27,0.875
1,65,65,0.24,63,67,30,0.675
4.8,74,74,0.384,77,79,32,3.3
2.1,68,70,0.24,66,65,26,1.4
27.6,79,79,4.8,75,73,30,14.5
0.504,66,66,0.192,67,60,34,0.325
2.7,70,70,0.432,66,73,27,1.7
0.73,62,63,0.096,58,48,27,0.4
0.504,66,66,0.288,63,58,34,0.325
1.7,63,73,0.096,58,65,21,1
1.8,63,72,0.0432,61,62,21,1.1
0.764,56,68,0.024,48,47,19,0.325
2,70,70,0.24,68,70,28,1.6
3.8,76,76,0.432,72,81,38,2.4
0.934,63,64,0.144,59,62,26,0.575
3,64,73,0.048,61,65,21,1.3
2.1,67,70,0.144,60,69,26,1.3
0.574,62,62,0.0312,58,53,27,0.425
5.3,66,79,0.336,59,64,19,2
3.3,70,73,0.24,70,68,26,2.1
0.703,56,73,0.048,45,61,20,0.375
1.7,65,66,0.024,70,61,25,0.75
2,69,69,0.096,67,70,30,1.3
1.1,59,76,0.0336,55,60,19,0.575
0.313,63,63,0.048,59,62,33,0.25
1.2,68,68,0.288,63,64,32,0.8
22.8,76,82,1.104,77,79,23,12
1.6,65,71,0.192,63,61,24,1
3.5,72,72,0.384,61,72,27,2.5
0.438,60,60,0.048,42,58,28,0.25
1.1,72,72,0.192,64,74,34,0.8
63.6,82,82,3.696,82,86,28,31
0.656,61,61,0.096,56,59,25,0.375
3.2,65,78,0.144,61,67,20,1.6
0.844,65,65,0.048,64,54,29,0.625
2.1,63,70,0.192,61,65,23,0.975
3.1,68,71,0.024,64,68,27,1.4
1.8,69,69,0.192,63,64,31,1
6.1,73,73,1.104,74,74,27,3.2
10.6,72,85,0.288,63,74,18,5
1.1,61,68,0.048,56,63,24,0.65
1.2,62,71,0.0312,60,57,23,0.825
6.2,67,82,1.248,55,69,20,2.5
0.66,55,65,0.024,46,52,22,0.275
0.945,66,66,0.144,64,68,31,0.7
44.4,81,82,2.208,83,77,28,25
3.1,72,72,0.768,69,68,31,1.7
4.1,69,72,0.0264,57,74,26,1.8
9.7,73,79,1.056,72,63,24,4.4
3.5,73,73,0.912,69,74,31,2.1
2.1,61,76,0.096,66,63,19,0.775
3.8,65,82,0.0384,64,56,18,1.7
1.5,64,65,0.024,65,65,27,0.675
0.28,61,61,0.096,60,61,34,0.16
0.724,61,66,0.0312,47,61,22,0.475
0.428,52,67,0.036,49,46,20,0.18
0.217,50,64,0.024,43,48,19,0.11
0.89,57,71,0.048,52,60,21,0.4
0.947,57,74,0.024,52,45,17,0.375
2.4,70,71,0.24,58,49,26,1.6
5.6,70,78,0.336,68,61,22,3.3
1.7,61,74,0.024,61,54,18,0.725
2.1,73,73,0.0384,66,78,38,0.95
3.1,66,73,0.192,58,64,23,1.6
1,66,66,0.144,64,68,32,0.7
0.825,60,71,0.024,46,40,20,0.5
2,63,71,0.048,60,53,21,1
6,73,75,0.96,74,68,26,3.8
9.9,72,80,0.864,73,76,22,5.5
1.2,67,67,0.192,65,49,31,0.7
0.439,71,71,0.096,71,63,36,0.325
1.9,62,72,0.024,66,57,18,0.825
2.4,69,69,0.336,67,63,29,1.2
0.385,59,59,0.192,59,57,30,0.22
2.9,69,69,0.336,62,73,26,1.5
1.1,65,66,0.192,62,68,26,0.825
47.4,80,82,4.8,81,85,26,24
2.3,65,72,0.144,64,68,23,1.4
2.3,69,69,0.192,65,73,27,1.5
0.228,53,57,0.024,52,56,21,0.14
17.8,76,81,1.488,72,58,24,10
2.5,67,73,0.096,66,64,23,1.5
0.891,63,66,0.144,60,62,25,0.625
1.4,67,67,0.24,61,68,28,1
5.1,71,77,0.432,67,68,24,3
2.1,69,69,0.096,66,62,27,1.3
4.6,72,72,0.72,71,74,30,2.3
0.585,55,67,0.048,46,49,19,0.3
4.4,72,73,0.672,67,73,26,2.8
8.3,74,75,1.632,69,59,27,4.2
8.6,75,76,0.768,77,76,27,6.5
4.9,72,77,0.288,69,73,25,3.1
2.1,64,75,0.048,63,56,21,1.2
0.612,54,71,0.144,47,51,19,0.275
3.1,65,77,0.096,53,75,21,1.8
2.2,68,68,0.48,65,60,27,1.2
12.4,76,76,0.72,75,79,29,7.5
1.1,59,73,0.048,40,58,20,0.55
78.7,84,86,2.976,81,83,26,47
2,64,73,0.096,62,60,22,1.2
4.8,67,78,0.336,68,73,22,2.1
7.7,70,79,0.288,62,69,22,3.4
9.5,75,76,0.96,71,60,28,5.5
0.175,49,61,0.024,49,44,17,0.1
2.4,65,75,0.096,62,53,21,1.5
5.8,70,80,0.384,67,73,22,3.6
2.8,70,71,0.192,60,69,26,1.9
3.5,72,72,0.336,67,72,30,2.3
7.1,69,80,0.528,66,70,20,3.1
9.4,76,76,1.728,72,71,31,5.5
2.2,65,72,0.0456,53,67,24,1.4
7.1,74,74,1.728,74,76,28,4.2
4.6,66,75,0.024,65,63,22,1.9
5.6,70,77,0.24,66,72,22,3.2
4.5,70,74,0.864,70,63,23,2.3
40.9,77,85,1.488,78,72,20,21.5
0.639,61,62,0.144,54,55,27,0.35
0.95,60,67,0.192,49,62,21,0.5
1.9,63,74,0.096,60,65,21,1.1
0.998,64,67,0.096,59,54,25,0.7
17.1,81,81,2.544,83,86,34,9
0.634,56,65,0.0456,49,50,22,0.325
0.394,52,65,0.0384,52,53,18,0.19
0.58,64,64,0.144,58,50,31,0.4
1.3,62,73,0.0408,60,64,21,0.9
2.3,69,70,0.24,69,70,27,1.6
63.7,80,86,2.496,78,85,23,33.5
0.158,51,57,0.024,49,54,19,0.09
0.978,60,72,0.0432,62,62,21,0.575
23.8,80,80,2.448,78,75,32,14
7.5,73,78,1.488,70,72,25,4.2
1.6,68,68,0.288,56,66,31,1
7.5,73,77,0.96,73,65,25,3.8
0.58,62,62,0.048,57,61,30,0.4
0.372,55,62,0.024,50,57,24,0.24
3.7,66,73,0.096,58,40,23,1.6
3.4,70,70,0.192,68,70,28,1.6
0.891,64,64,0.0456,61,60,30,0.575
1.7,67,67,0.288,62,69,27,1.1
2,65,71,0.144,61,53,24,1
2.6,70,70,0.432,68,70,29,1.6
3.9,72,72,0.576,69,72,31,2
2.6,69,74,0.048,58,66,25,1.8
1.7,62,73,0.048,61,65,21,0.85
8.6,74,75,1.104,67,73,26,5
3.1,64,72,0.024,57,63,20,1.3
21.9,78,78,2.064,65,79,31,11.5
1.6,70,70,0.432,64,67,32,1
8.1,74,75,1.632,74,74,27,4.3
2.7,67,71,0.24,60,64,24,1.5
0.963,66,66,0.144,63,55,32,0.55
18.7,76,82,0.72,75,77,24,11
3.3,73,73,0.0408,68,70,33,1.5
4.8,73,73,2.208,70,80,30,2.6
0.831,64,64,0.096,64,66,31,0.475
1.5,64,67,0.144,62,62,24,0.8
0.961,64,68,0.048,65,56,25,0.725
0.808,66,66,0.528,60,62,33,0.425
0.86,57,69,0.096,39,62,20,0.4
1,64,64,0.144,59,64,29,0.575
14.7,73,83,1.152,73,72,22,7
2,70,70,0.144,69,71,28,1.6
1.7,68,68,0.048,59,65,29,1.2
0.728,55,69,0.024,54,59,18,0.3
4.7,68,77,0.144,58,72,22,2.7
0.882,57,74,0.048,38,60,18,0.425
16.2,79,79,2.688,78,61,33,8.5
14.4,74,80,0.672,57,66,23,6
1.2,66,66,0.096,66,67,28,0.85
0.66,57,64,0.048,51,59,19,0.3
13,76,76,0.672,73,74,30,6.5
2.6,68,68,0.336,67,64,27,1.3
0.396,61,61,0.144,57,60,31,0.24
0.645,62,62,0.024,49,59,31,0.3
3.6,66,75,0.336,66,70,22,1.9
2.2,69,69,0.48,57,70,27,1.5
1.4,65,65,0.192,65,65,30,0.7
1.1,64,65,0.048,59,59,27,0.625
5.2,65,81,0.144,68,70,19,1.9
1.9,68,68,0.384,67,70,30,1
0.497,62,63,0.0384,60,60,28,0.375
2.7,69,70,0.24,71,69,27,1.6
0.504,61,61,0.0336,58,61,29,0.325
0.385,56,62,0.024,48,52,20,0.22
2.3,65,75,0.048,58,68,22,1.6
4.1,73,73,0.576,68,72,29,2.7
28.4,77,82,1.968,75,80,24,16
0.9,59,70,0.096,59,59,19,0.5
0.594,64,64,0.048,57,60,32,0.475
3.7,67,74,0.192,62,60,24,1.9
0.388,60,60,0.0312,54,60,27,0.25
3.7,71,74,0.432,64,62,25,2.2
3.4,71,71,0.0264,65,68,31,1.6
0.85,69,69,0.336,70,73,35,0.425
0.306,52,63,0.048,53,46,21,0.18
4.6,70,73,0.72,69,62,26,2.1
1.9,60,80,0.0264,60,69,17,0.675
1,67,67,0.144,68,63,31,0.75
11.1,76,76,2.016,73,60,29,6.5
1.9,63,75,0.036,62,65,21,1.2
1.7,60,79,0.096,64,61,19,0.625
2.5,69,70,0.384,65,67,26,1.6
1.1,66,66,0.048,60,65,28,0.85
2,62,78,0.048,58,68,19,1
0.264,52,62,0.024,52,55,20,0.17
1.9,63,70,0.048,44,68,22,0.975
17.1,77,77,3.264,75,68,29,9
4.2,69,74,0.624,59,62,24,2
10,72,81,0.672,68,73,22,5
0.449,55,62,0.096,49,49,20,0.23
8.1,72,79,0.768,65,75,24,4.5
12.4,76,76,1.488,75,74,29,6.5
2.5,65,76,0.0456,54,69,21,1.6
1.4,67,67,0.144,63,71,30,0.975
31.9,76,83,0.432,72,76,21,14.5
3.8,65,74,0.024,50,67,22,1.6
0.279,60,60,0.0312,54,51,31,0.18
34.9,80,80,2.688,82,79,30,20.5
1.7,64,71,0.048,60,64,25,1.1
2,65,70,0.144,73,64,25,0.95
37.8,79,79,1.392,81,79,28,18
2.1,62,70,0.024,59,62,22,0.9
2.8,68,69,0.192,67,63,27,1.3
1.1,61,66,0.024,55,51,21,0.475
3.4,66,76,0.144,60,66,21,1.9
0.158,49,56,0.048,47,31,21,0.09
6.6,69,78,0.288,68,70,21,3
3.2,70,70,0.288,72,61,23,1.7
0.563,61,66,0.0336,55,58,26,0.425
0.518,60,63,0.144,53,58,25,0.3
15.8,76,77,3.552,74,75,27,8
1.4,59,76,0.096,56,49,19,0.55
11.5,75,78,1.104,74,60,26,6.5
0.332,54,60,0.048,53,49,20,0.17
2.1,64,73,0.024,70,63,20,1.3
2.7,65,72,0.096,61,65,22,1.5
0.48,52,67,0.096,53,59,20,0.19
0.438,55,63,0.024,48,49,20,0.25
2.5,68,71,0.192,64,71,26,1.6
12.5,74,77,0.96,76,74,25,5.5
8.2,75,75,1.104,73,69,30,4.8
2.5,68,72,0.48,66,53,25,1.5
6.3,74,74,0.576,73,74,28,4.2
1.9,68,69,0.096,65,64,27,1.3
0.471,62,62,0.096,53,59,32,0.325
0.548,59,64,0.048,48,45,24,0.3
1.7,63,70,0.0312,59,57,23,0.975
0.149,54,54,0.024,40,53,29,0.11
0.439,63,63,0.096,61,33,31,0.325
0.9,71,71,0.192,76,71,36,0.6
2.6,69,70,0.336,65,75,26,1.6
2.1,66,69,0.288,65,67,25,1
16,76,77,1.296,74,79,26,9
8,74,74,1.632,75,78,28,4.2
5.6,76,76,0.24,70,82,34,3.5
1.2,61,69,0.0432,58,64,22,0.75
0.149,54,54,0.024,55,55,28,0.11
1.7,61,72,0.024,61,61,18,0.7
7.5,73,76,0.912,67,74,25,4
0.385,59,59,0.048,54,58,30,0.22
25.5,78,78,3.36,72,85,27,15
65.2,81,83,2.688,80,77,25,33
4.5,68,80,0.192,64,70,20,2.8
3,69,74,0.096,63,75,25,2
0.975,65,65,0.144,59,66,28,0.65
1.8,67,67,0.024,60,68,32,0.825
0.653,58,67,0.0384,50,61,23,0.45
0.363,54,66,0.048,52,52,20,0.25
15,76,79,0.432,74,71,23,9.5
0.54,63,63,0.096,60,61,29,0.4
1.5,65,65,0.288,59,68,28,0.725
1.4,58,75,0.024,52,58,18,0.5
1.2,65,65,0.288,61,61,27,0.65
2.3,72,72,0.288,69,71,31,1.6
1.1,66,66,0.192,61,69,29,0.725
1.6,67,67,0.624,60,70,29,1
0.675,58,68,0.048,54,61,22,0.45
0.162,56,56,0.024,49,49,29,0.12
1.2,61,71,0.048,57,47,21,0.7
1.2,66,66,0.144,55,69,30,0.825
0.217,56,56,0.096,53,63,30,0.14
1.5,63,69,0.096,57,66,24,0.75
0.825,53,76,0.024,58,55,17,0.3
0.508,57,67,0.048,46,42,21,0.35
3.8,71,76,0.144,65,66,24,2.6
1.7,67,70,0.144,62,65,26,1.2
2.9,65,72,0.144,58,64,22,1.5
1.3,62,69,0.096,54,56,23,0.75
8,73,74,0.0456,72,74,27,3.5
2.3,70,70,0.336,68,67,27,1.5
5.3,68,80,0.192,68,57,20,2.7
0.821,61,64,0.048,58,59,24,0.45
1.8,66,70,0.24,61,62,25,1.1
0.523,54,66,0.144,56,56,21,0.275
0.42,54,66,0.0336,49,54,18,0.24
0.594,64,64,0.048,64,55,30,0.475
26.7,78,79,3.456,76,74,28,13.5
3,70,70,0.24,63,68,27,1.7
3.4,67,73,0.432,63,66,24,1.6
42,80,80,0.96,79,80,28,21
0.609,61,64,0.0336,54,58,27,0.375
1.1,59,76,0.024,50,62,19,0.575
24.2,76,82,1.536,71,75,21,11.5
9.9,75,75,1.968,76,77,29,5.5
2,69,69,0.24,62,71,32,1.1
3.1,69,69,0.0312,61,78,28,1.4
0.648,61,64,0.096,55,62,25,0.425
0.834,66,66,0.144,61,56,31,0.575
3.3,63,77,0.192,58,66,20,1.2
0.882,57,76,0.0408,47,61,18,0.425
6.8,68,81,0.24,65,63,21,2.8
1,68,68,0.384,64,44,33,0.575
1.1,64,65,0.24,55,58,27,0.625
0.606,62,64,0.096,57,52,26,0.425
2.9,68,69,0.024,52,61,27,1.3
1.5,60,76,0.0264,57,65,18,0.625
0.426,55,63,0.024,48,53,22,0.275
3.7,64,80,0.672,55,66,19,1.5
0.949,62,68,0.0336,59,47,24,0.575
1.4,71,71,0.432,65,58,33,0.9
21,78,78,0.864,79,79,27,15
1.8,63,69,0.024,63,63,23,0.75
3.2,68,74,0.24,66,67,24,1.8
1.1,64,68,0.048,61,65,25,0.8
10.9,74,77,1.104,73,68,25,5
2.2,70,70,1.296,65,61,29,1.3
0.908,60,69,0.048,51,56,21,0.55
0.825,59,67,0.0336,57,61,22,0.5
0.551,60,65,0.048,61,55,24,0.35
6.1,68,80,1.2,66,68,20,2.9
1.6,61,75,0.048,58,46,19,0.75
3.1,69,70,0.336,65,76,26,1.5
2.2,65,72,0.048,62,65,20,1.4
2.2,65,68,0.024,59,70,24,0.975
1.2,67,67,0.24,60,68,29,0.875
7.4,68,82,0.288,64,61,19,2.7
1.3,62,68,0.096,57,64,23,0.625
0.659,58,68,0.024,56,53,18,0.425
1.2,65,65,0.24,71,55,27,0.65
0.821,56,70,0.048,51,54,18,0.325
1.3,58,77,0.0408,51,63,19,0.525
0.42,60,60,0.096,54,54,26,0.24
0.853,63,64,0.0408,61,58,26,0.525
1.1,66,66,0.144,62,66,31,0.7
5.9,70,80,0.24,73,71,21,3.6
0.89,57,71,0.0312,49,63,20,0.4
1.3,66,66,0.24,64,65,31,0.725
66.4,80,85,0.816,81,84,24,32
27.6,79,79,2.688,77,66,30,14.5
5.8,73,75,0.96,73,66,28,3.1
